mass,"(1, 0, 0)","(1, 0, 1)","(1, 0, 2)","(2, 0, 0)","(2, 0, 1)","(2, 0, 2)","(2, 1, 0)","(2, 1, 1)","(2, 1, 2)","(1, 0)","(2, 0)","(2, 1)"
0.0001445972921792,2.00326612226459e-06,3.7262274983372665e-06,8.200469865205739e-05,0.0008721379926220966,0.0008462157892926541,0.0016199099591097234,0.0009286021793989337,0.0008992849857789088,0.0017421543341548426,2.376256925671868e-06,0.0006554871905456722,0.0006961751410598901
0.0001472882723907,2.0032657600573435e-06,3.726231628262948e-06,8.200469867215759e-05,0.0008721379917524688,0.0008462157885185409,0.0016199099694830309,0.0009286021773534675,0.0008992849886118803,0.0017421543453182513,2.3762558054858917e-06,0.0006554871888085368,0.000696175141474435
0.0001500293322019,2.003265371730786e-06,3.7262358962864515e-06,8.200469873927087e-05,0.0008721379908163557,0.0008462157877153471,0.0016199099802191353,0.0009286021752311587,0.0008992849915383715,0.0017421543568720802,2.37625461796863e-06,0.0006554871869985626,0.000696175141898237
0.0001528214036025,2.0032649559695385e-06,3.7262403069585083e-06,8.200469885481174e-05,0.0008721379898103181,0.0008462157868819802,0.0016199099913309692,0.0009286021730291208,0.0008992849945614119,0.001742154368830248,2.3762533599395932e-06,0.000655487185112807,0.0006961751423313871
0.0001556654359271,2.0032645114023234e-06,3.726244864976053e-06,8.200469897716315e-05,0.0008721379887307665,0.0008462157860173068,0.0016199100028312149,0.0009286021707443582,0.0008992849976841268,0.0017421543812064073,2.3762520280889262e-06,0.0006554871831482597,0.0006961751427740152
0.0001585623961771,2.0032640365998725e-06,3.726249575188435e-06,8.200469899389802e-05,0.0008721379875739555,0.0008462157851201505,0.0016199100147336848,0.0009286021683737632,0.0008992850009097399,0.0017421543940154421,2.3762506189728964e-06,0.0006554871811017495,0.0006961751432262019
0.0001615132693503,2.0032635300727622e-06,3.726254442601441e-06,8.200469901939564e-05,0.0008721379863359778,0.0008462157841892913,0.0016199100270520989,0.0009286021659141113,0.0008992850042415768,0.0017421544072720987,2.376249129001922e-06,0.0006554871789700207,0.0006961751436880599
0.0001645190587753,2.0032629902691788e-06,3.7262594723822526e-06,8.200469907056913e-05,0.0008721379850127583,0.0008462157832234631,0.0016199100398011737,0.0009286021633620569,0.0008992850076830676,0.0017421544209922108,2.376247554443341e-06,0.0006554871767496591,0.0006961751441596616
0.000167580786453,2.0032624155726088e-06,3.726264669864707e-06,8.200469907685434e-05,0.0008721379836000467,0.0008462157822213523,0.0016199100529957447,0.0009286021607141285,0.0008992850112377501,0.0017421544351917562,2.376245891415859e-06,0.0006554871744371452,0.0006961751446410963
0.0001706994934038,2.0032618042994565e-06,3.726270040554641e-06,8.200469919008336e-05,0.0008721379820934116,0.0008462157811815959,0.0016199100666513075,0.0009286021579667242,0.0008992850149092738,0.001742154449887385,2.376244135876559e-06,0.0006554871720288156,0.0006961751451324388
0.0001738762400216,2.00326115469658e-06,3.7262755901348197e-06,8.200469896380809e-05,0.0008721379804882334,0.0008462157801027793,0.0016199100807837389,0.000928602155116107,0.0008992850187014023,0.0017421544650962548,2.376242283635352e-06,0.0006554871695208773,0.0006961751456337593
0.0001771121064345,2.0032604649387477e-06,3.7262813244709133e-06,8.200469903971547e-05,0.0008721379787796971,0.0008462157789834357,0.0016199100954099974,0.0009286021521583994,0.000899285022618017,0.0017421544808365135,2.376240330308117e-06,0.0006554871669093579,0.0006961751461450957
0.0001804081928719,2.0032597331260164e-06,3.7262872496173286e-06,8.200469919439545e-05,0.0008721379769627846,0.0008462157778220423,0.001619910110546761,0.0009286021490895783,0.0008992850266631217,0.0017421544971261446,2.3762382713581486e-06,0.0006554871641901909,0.0006961751466665225
0.0001837656200388,2.003258957281018e-06,3.7262933718223364e-06,8.200469916395729e-05,0.0008721379750322675,0.0008462157766170198,0.001619910126212126,0.0009286021459054692,0.0008992850308408443,0.0017421545139846648,2.3762361020701645e-06,0.0006554871613591003,0.0006961751471980501
0.0001871855294965,2.003258135346166e-06,3.7262996975352493e-06,8.200469920092833e-05,0.0008721379729826991,0.0008462157753667288,0.0016199101424242681,0.0009286021426017411,0.0008992850351554427,0.0017421545314315935,2.3762338175301448e-06,0.0006554871584116835,0.000696175147739717
0.0001906690840512,2.0032572651807647e-06,3.7263062334117925e-06,8.200469943826202e-05,0.0008721379708084054,0.0008462157740694692,0.0016199101592020524,0.0009286021391738998,0.0008992850396113066,0.0017421545494872113,2.3762314126344567e-06,0.0006554871553433677,0.000696175148291544
